,section,dish,price
0,Холодные закуски,Ассорти европейских сыров,420
1,Холодные закуски,Ассорти кавказских сыров,450
2,Холодные закуски,Бакинские помидоры и огурцы,390
3,Холодные закуски,Букет из свежей бакинской зелени,290
4,Холодные закуски,Капрезе,320
5,Холодные закуски,Маринады и соленья,270
6,Холодные закуски,Маслины / оливки,120
7,Холодные закуски,Мясная тарелка,570
8,Холодные закуски,Отварной язык с хреном,260
9,Холодные закуски,Рулет из баклажанов с грецким орехом,250
10,Холодные закуски,Рыбная тарелка,990
11,Холодные закуски,Семга слабосоленая по-домашнему,320
12,Холодные закуски,Филе сельди с отварным картофелем и яйцом,220
13,Салаты,Бакинские помидоры,280
14,Салаты,Мангал-салат,250
15,Салаты,Рукола с креветками,470
16,Салаты,"Салат ""Дюшес"" с грушей",460
17,Салаты,Салат из семги слабой соли,330
18,Салаты,Салат с креветками и вялеными помидорами,380
19,Салаты,Салат с нежной куриной печенью,380
20,Салаты,Салат со спаржей и филе сибаса,440
21,Салаты,Теплый салат с телятиной и овощами,320
22,Салаты,Цезарь дюшес,360
23,Салаты,Чобан-салат,310
24,Горячие закуски,Баклажан запеченный в тандыре с сырными кнелями,280
25,Горячие закуски,Бургер «Дюшес»,330
26,Горячие закуски,Долма,320
27,Горячие закуски,Креветки,520
28,Горячие закуски,Лобио,180
29,Горячие закуски,Обжаренный сулугуни,240
30,Горячие закуски,Спаржерико,390
31,Горячие закуски,Тигровые креветки с острым пряным соусом,520
32,Супы,Борщ,250
33,Супы,Довга,190
34,Супы,Крем-суп из свежих шампиньонов,250
35,Супы,Куриный суп,210
36,Супы,Лагман,380
37,Супы,Соютма из ягненка,370
38,Супы,Суп Дюшбара,260
39,Супы,Суп пити,430
40,Супы,Суп Харчо,280
41,Супы,Сурфуллу,250
42,Супы,Уха,390
43,Горячие блюда из рыбы,Филе семги с овощами,590
44,Горячие блюда из рыбы,Филе сибаса с овощами,560
45,Горячие блюда из рыбы,Филе сибаса со шпинатом,580
46,Живая рыба,Карп живой,140
47,Живая рыба,Стерлядь живая,240
48,Горячие блюда из мяса,Аджаб сандал,430
49,Горячие блюда из мяса,Жаркое из баранины,390
50,Горячие блюда из мяса,Котлеты домашние из телятины,340
51,Горячие блюда из мяса,Котлеты домашние из цыпленка,220
52,Горячие блюда из мяса,Садж-кебаб из ливера ягненка,750
53,Горячие блюда из мяса,Садж-кебаб с бараниной,1100
54,Горячие блюда из мяса,Садж-кебаб с курицей,800
55,Горячие блюда из мяса,Садж-кебаб с телятиной,1200
56,Горячие блюда из мяса,Садж-кебаб со свининой,950
57,Горячие блюда из мяса,Тажин «Дюшес» на двоих,850
58,Горячие блюда из мяса,Телятина по-домашнему,430
59,Горячие блюда из мяса,"Телятина с сезонными овощами, печеная в глиняной сковороде",420
60,Рыба и птица на углях,Дорада на углях,580
61,Рыба и птица на углях,Куриная грудка на гриле,370
62,Рыба и птица на углях,Перепела на углях,490
63,Рыба и птица на углях,Сибас на углях,580
64,Рыба и птица на углях,Стейк из семги,650
65,Рыба и птица на углях,Цыпленок (1 шт.),490
66,Мясо на углях,«Ти - бон» из баранины (почечная часть),170
67,Мясо на углях,«Топор» из баранины,170
68,Мясо на углях,Баранья корейка,170
69,Мясо на углях,Телячья корейка,190
70,Мясо на углях,Тонкие медальоны из говяжьей вырезки,390
71,Стейки,Стейк «Нью- Йорк»,430
72,Стейки,Стейк «Рибай»,490
73,Стейки,Стейк «Флэнк»,270
74,Стейки,Стейк из свиной корейки,130
75,Шашлыки и люля кебаб,Бастурма из телятины,480
76,Шашлыки и люля кебаб,Люля - кебаб из баранины,360
77,Шашлыки и люля кебаб,Люля - кебаб из картофеля,180
78,Шашлыки и люля кебаб,Люля - кебаб из курицы,250
79,Шашлыки и люля кебаб,Люля - кебаб из свинины,330
80,Шашлыки и люля кебаб,Люля - кебаб из телятины,430
81,Шашлыки и люля кебаб,Овощи на гриле,340
82,Шашлыки и люля кебаб,"Шашлык бараний ""Ти-Бон""",380
83,Шашлыки и люля кебаб,Шашлык из бакинских помидоров (2шт),120
84,Шашлыки и люля кебаб,Шашлык из баклажанов с курдюком (1 шт.),150
85,Шашлыки и люля кебаб,Шашлык из бараньей корейки,390
86,Шашлыки и люля кебаб,Шашлык из бараньей мякоти,390
87,Горячие мучные блюда,Кутаб с айвой,110
88,Горячие мучные блюда,Кутаб с зеленью,110
89,Горячие мучные блюда,Кутаб с мясом,110
90,Горячие мучные блюда,Кутаб с сыром,110
91,Горячие мучные блюда,Кутаб с тыквой,110
92,Горячие мучные блюда,Кюрза,270
93,Горячие мучные блюда,Кюрза жареная,270
94,Горячие мучные блюда,Хачапури по-аджарски,360
95,Горячие мучные блюда,Хачапури по-имеретински,360
96,Горячие мучные блюда,Хинкали,50
97,Плов,"Плов ""Чайханский""",450
98,Плов,Хан-Плов,460
99,Пивное предложение,Ассорти вяленого мяса,350
100,Пивное предложение,Гренки с сырной массой,160
101,Пивное предложение,Креветки жареные,310
102,Пивное предложение,Креветки отварные,310
103,Пивное предложение,Куриные крылья Баффало,240
104,Пивное предложение,Сырные шарики на мангале,250
105,Соусы,Аджика,80
106,Соусы,Барбекю,80
107,Соусы,Грибной,80
108,Соусы,Наршараб,80
109,Соусы,Сальса,80
110,Соусы,Сливочно - чесночный,80
111,Соусы,Ткемали,80
112,Соусы,Шашлычный,80
113,Гарниры,Брокколи отварная или жареная,160
114,Гарниры,Гречка отварная,110
115,Гарниры,Картофель с грибами,230
116,Гарниры,Картофель фри,150
117,Гарниры,Картофельное пюре,110
118,Гарниры,Овощи на гриле,340
119,Гарниры,Рис отварной,110
120,Гарниры,Цветная капуста отварная или жареная,160
121,Хлеб,Домашняя лепешка,30
122,Хлеб,Лаваш,30
123,Хлеб,Ржаной хлеб,25
124,Кисло-молочные продукты,Довга,200
125,Кисло-молочные продукты,Мацони по - домашнему,120
126,Десерты,Апшерон,290
127,Десерты,Ляб - Ляби,260
128,Десерты,Мутаки (2 шт.),80
129,Десерты,Наполеон,290
130,Десерты,Пахлава (2 шт.),100
131,Десерты,Сашер клубничный,290
132,Десерты,Творожный кейк,290
133,Десерты,Фруктовое ассорти,590
134,Десерты,Чизкейк,290
135,Десерты,Шекер Бура,100
136,Десерты,Ширин Гогал,70
137,Десерты,Штрудель яблочный,290
138,Детское меню,Картофельные бревнышки,95
139,Детское меню,Курочка в кляре,120
140,Детское меню,Салат Веселый ёжик,195
141,Детское меню,Салат Курочка Ряба,140
142,Детское меню,Супчик грибной,70
143,Детское меню,Супчик куриный,65
144,Детское меню,Супчик овощной,55
145,Детское меню,Шашлычок из курицы,190
146,Детское меню,Шашлычок из телятины,250
